,Date,PageViews,Rank,Reach
62,2020-03-01,"{'PerMillion': '752', 'PerUser': '4.80'}",77,{'PerMillion': '5100'}
63,2020-03-02,"{'PerMillion': '640', 'PerUser': '4.50'}",88,{'PerMillion': '5600'}
64,2020-03-03,"{'PerMillion': '652', 'PerUser': '4.50'}",82,{'PerMillion': '5700'}
65,2020-03-04,"{'PerMillion': '605', 'PerUser': '4.40'}",90,{'PerMillion': '5300'}
66,2020-03-05,"{'PerMillion': '702', 'PerUser': '5.30'}",82,{'PerMillion': '5100'}
67,2020-03-06,"{'PerMillion': '695', 'PerUser': '5.20'}",86,{'PerMillion': '5100'}
68,2020-03-07,"{'PerMillion': '693', 'PerUser': '4.80'}",94,{'PerMillion': '4900'}
69,2020-03-08,"{'PerMillion': '698', 'PerUser': '4.70'}",88,{'PerMillion': '4900'}
70,2020-03-09,"{'PerMillion': '625', 'PerUser': '5.00'}",98,{'PerMillion': '5000'}
71,2020-03-10,"{'PerMillion': '601', 'PerUser': '4.70'}",87,{'PerMillion': '4900'}
72,2020-03-11,"{'PerMillion': '530', 'PerUser': '4.60'}",104,{'PerMillion': '4500'}
73,2020-03-12,"{'PerMillion': '496', 'PerUser': '4.30'}",102,{'PerMillion': '4500'}
74,2020-03-13,"{'PerMillion': '504', 'PerUser': '4.40'}",112,{'PerMillion': '4400'}
75,2020-03-14,"{'PerMillion': '510', 'PerUser': '4.40'}",128,{'PerMillion': '3900'}
76,2020-03-15,"{'PerMillion': '504', 'PerUser': '4.30'}",131,{'PerMillion': '3900'}
77,2020-03-16,"{'PerMillion': '391', 'PerUser': '4.10'}",136,{'PerMillion': '3700'}
78,2020-03-17,"{'PerMillion': '401', 'PerUser': '4.30'}",139,{'PerMillion': '3600'}
79,2020-03-18,"{'PerMillion': '368', 'PerUser': '4.70'}",166,{'PerMillion': '3000'}
80,2020-03-19,"{'PerMillion': '334', 'PerUser': '4.30'}",165,{'PerMillion': '3000'}
81,2020-03-20,"{'PerMillion': '361', 'PerUser': '4.80'}",165,{'PerMillion': '2800'}
82,2020-03-21,"{'PerMillion': '314', 'PerUser': '4.50'}",198,{'PerMillion': '2400'}
83,2020-03-22,"{'PerMillion': '364', 'PerUser': '4.30'}",169,{'PerMillion': '2900'}
84,2020-03-23,"{'PerMillion': '293', 'PerUser': '4.10'}",184,{'PerMillion': '2800'}
85,2020-03-24,"{'PerMillion': '282', 'PerUser': '4.50'}",205,{'PerMillion': '2500'}
86,2020-03-25,"{'PerMillion': '306', 'PerUser': '4.90'}",199,{'PerMillion': '2400'}
87,2020-03-26,"{'PerMillion': '238', 'PerUser': '4.30'}",239,{'PerMillion': '2200'}
88,2020-03-27,"{'PerMillion': '252', 'PerUser': '4.50'}",230,{'PerMillion': '2200'}
89,2020-03-28,"{'PerMillion': '369', 'PerUser': '4.90'}",178,{'PerMillion': '2700'}
90,2020-03-29,"{'PerMillion': '240', 'PerUser': '4.10'}",238,{'PerMillion': '2100'}
91,2020-03-30,"{'PerMillion': '255', 'PerUser': '5.00'}",231,{'PerMillion': '2100'}
92,2020-03-31,"{'PerMillion': '220', 'PerUser': '4.70'}",263,{'PerMillion': '1900'}
93,2020-04-01,"{'PerMillion': '232', 'PerUser': '5.00'}",256,{'PerMillion': '1900'}
94,2020-04-02,"{'PerMillion': '214', 'PerUser': '4.60'}",268,{'PerMillion': '1800'}
95,2020-04-03,"{'PerMillion': '235', 'PerUser': '4.80'}",259,{'PerMillion': '1800'}
96,2020-04-04,"{'PerMillion': '280', 'PerUser': '4.60'}",225,{'PerMillion': '2100'}
97,2020-04-05,"{'PerMillion': '230', 'PerUser': '4.30'}",268,{'PerMillion': '1900'}
98,2020-04-06,"{'PerMillion': '239', 'PerUser': '4.90'}",247,{'PerMillion': '1900'}
99,2020-04-07,"{'PerMillion': '222', 'PerUser': '4.90'}",279,{'PerMillion': '1700'}
100,2020-04-08,"{'PerMillion': '210', 'PerUser': '4.80'}",280,{'PerMillion': '1700'}
101,2020-04-09,"{'PerMillion': '204', 'PerUser': '4.70'}",287,{'PerMillion': '1600'}
102,2020-04-10,"{'PerMillion': '289', 'PerUser': '4.70'}",206,{'PerMillion': '2300'}
103,2020-04-11,"{'PerMillion': '259', 'PerUser': '4.50'}",243,{'PerMillion': '2000'}
104,2020-04-12,"{'PerMillion': '230', 'PerUser': '4.60'}",275,{'PerMillion': '1700'}
105,2020-04-13,"{'PerMillion': '244', 'PerUser': '4.80'}",240,{'PerMillion': '2000'}
106,2020-04-14,"{'PerMillion': '194', 'PerUser': '4.50'}",284,{'PerMillion': '1700'}
107,2020-04-15,"{'PerMillion': '200', 'PerUser': '4.60'}",287,{'PerMillion': '1600'}
108,2020-04-16,"{'PerMillion': '190', 'PerUser': '4.60'}",290,{'PerMillion': '1600'}
109,2020-04-17,"{'PerMillion': '180', 'PerUser': '4.60'}",307,{'PerMillion': '1500'}
110,2020-04-18,"{'PerMillion': '240', 'PerUser': '4.80'}",266,{'PerMillion': '1700'}
111,2020-04-19,"{'PerMillion': '220', 'PerUser': '4.50'}",273,{'PerMillion': '1700'}
112,2020-04-20,"{'PerMillion': '213', 'PerUser': '4.80'}",277,{'PerMillion': '1800'}
113,2020-04-21,"{'PerMillion': '253', 'PerUser': '5.20'}",245,{'PerMillion': '1900'}
114,2020-04-22,"{'PerMillion': '200', 'PerUser': '4.50'}",266,{'PerMillion': '1800'}
115,2020-04-23,"{'PerMillion': '216', 'PerUser': '4.50'}",255,{'PerMillion': '1900'}
116,2020-04-24,"{'PerMillion': '213', 'PerUser': '4.60'}",269,{'PerMillion': '1800'}
117,2020-04-25,"{'PerMillion': '260', 'PerUser': '4.60'}",237,{'PerMillion': '2000'}
118,2020-04-26,"{'PerMillion': '256', 'PerUser': '4.60'}",245,{'PerMillion': '2000'}
119,2020-04-27,"{'PerMillion': '214', 'PerUser': '4.90'}",274,{'PerMillion': '1700'}
120,2020-04-28,"{'PerMillion': '216', 'PerUser': '4.70'}",270,{'PerMillion': '1800'}
121,2020-04-29,"{'PerMillion': '213', 'PerUser': '4.80'}",274,{'PerMillion': '1700'}
122,2020-04-30,"{'PerMillion': '199', 'PerUser': '4.50'}",276,{'PerMillion': '1700'}
123,2020-05-01,"{'PerMillion': '200', 'PerUser': '4.40'}",279,{'PerMillion': '1600'}
124,2020-05-02,"{'PerMillion': '293', 'PerUser': '4.90'}",216,{'PerMillion': '2100'}
125,2020-05-03,"{'PerMillion': '271', 'PerUser': '4.80'}",239,{'PerMillion': '2000'}
126,2020-05-04,"{'PerMillion': '244', 'PerUser': '4.60'}",229,{'PerMillion': '2100'}
127,2020-05-05,"{'PerMillion': '248', 'PerUser': '4.80'}",235,{'PerMillion': '2000'}
128,2020-05-06,"{'PerMillion': '220', 'PerUser': '4.70'}",255,{'PerMillion': '1900'}
129,2020-05-07,"{'PerMillion': '217', 'PerUser': '4.80'}",263,{'PerMillion': '1800'}
130,2020-05-08,"{'PerMillion': '227', 'PerUser': '4.40'}",234,{'PerMillion': '2000'}
131,2020-05-09,"{'PerMillion': '230', 'PerUser': '4.60'}",262,{'PerMillion': '1800'}
132,2020-05-10,"{'PerMillion': '253', 'PerUser': '4.50'}",239,{'PerMillion': '2000'}
133,2020-05-11,"{'PerMillion': '200', 'PerUser': '4.30'}",250,{'PerMillion': '1900'}
134,2020-05-12,"{'PerMillion': '264', 'PerUser': '5.00'}",225,{'PerMillion': '2100'}
135,2020-05-13,"{'PerMillion': '262', 'PerUser': '4.30'}",193,{'PerMillion': '2400'}
136,2020-05-14,"{'PerMillion': '233', 'PerUser': '4.70'}",239,{'PerMillion': '2000'}
137,2020-05-15,"{'PerMillion': '242', 'PerUser': '4.30'}",223,{'PerMillion': '2100'}
138,2020-05-16,"{'PerMillion': '312', 'PerUser': '4.80'}",202,{'PerMillion': '2300'}
139,2020-05-17,"{'PerMillion': '333', 'PerUser': '5.00'}",199,{'PerMillion': '2400'}
140,2020-05-18,"{'PerMillion': '256', 'PerUser': '4.50'}",214,{'PerMillion': '2300'}
141,2020-05-19,"{'PerMillion': '273', 'PerUser': '4.90'}",211,{'PerMillion': '2200'}
142,2020-05-20,"{'PerMillion': '295', 'PerUser': '4.70'}",190,{'PerMillion': '2500'}
143,2020-05-21,"{'PerMillion': '277', 'PerUser': '5.20'}",222,{'PerMillion': '2100'}
144,2020-05-22,"{'PerMillion': '290', 'PerUser': '4.80'}",199,{'PerMillion': '2500'}
145,2020-05-23,"{'PerMillion': '387', 'PerUser': '4.70'}",162,{'PerMillion': '2900'}
146,2020-05-24,"{'PerMillion': '462', 'PerUser': '4.30'}",148,{'PerMillion': '2900'}
147,2020-05-25,"{'PerMillion': '364', 'PerUser': '4.70'}",165,{'PerMillion': '2900'}
148,2020-05-26,"{'PerMillion': '367', 'PerUser': '4.80'}",154,{'PerMillion': '3100'}
149,2020-05-27,"{'PerMillion': '360', 'PerUser': '5.10'}",162,{'PerMillion': '2900'}
150,2020-05-28,"{'PerMillion': '288', 'PerUser': '4.50'}",184,{'PerMillion': '2600'}
151,2020-05-29,"{'PerMillion': '319', 'PerUser': '4.90'}",176,{'PerMillion': '2600'}
152,2020-05-30,"{'PerMillion': '420', 'PerUser': '4.80'}",141,{'PerMillion': '3200'}
153,2020-05-31,"{'PerMillion': '482', 'PerUser': '4.90'}",129,{'PerMillion': '3500'}
154,2020-06-01,"{'PerMillion': '382', 'PerUser': '4.70'}",141,{'PerMillion': '3300'}
155,2020-06-02,"{'PerMillion': '358', 'PerUser': '5.10'}",174,{'PerMillion': '2800'}
156,2020-06-03,"{'PerMillion': '364', 'PerUser': '4.90'}",163,{'PerMillion': '3000'}
157,2020-06-04,"{'PerMillion': '370', 'PerUser': '5.10'}",163,{'PerMillion': '3000'}
158,2020-06-05,"{'PerMillion': '349', 'PerUser': '5.10'}",175,{'PerMillion': '2700'}
159,2020-06-06,"{'PerMillion': '433', 'PerUser': '4.90'}",145,{'PerMillion': '3100'}
160,2020-06-07,"{'PerMillion': '587', 'PerUser': '5.70'}",117,{'PerMillion': '3700'}
161,2020-06-08,"{'PerMillion': '421', 'PerUser': '5.10'}",140,{'PerMillion': '3400'}
162,2020-06-09,"{'PerMillion': '423', 'PerUser': '5.20'}",144,{'PerMillion': '3400'}
163,2020-06-10,"{'PerMillion': '393', 'PerUser': '4.50'}",143,{'PerMillion': '3500'}
164,2020-06-11,"{'PerMillion': '423', 'PerUser': '4.80'}",134,{'PerMillion': '3500'}
165,2020-06-12,"{'PerMillion': '368', 'PerUser': '4.50'}",153,{'PerMillion': '3200'}
166,2020-06-13,"{'PerMillion': '450', 'PerUser': '4.60'}",126,{'PerMillion': '3400'}
167,2020-06-14,"{'PerMillion': '518', 'PerUser': '4.80'}",118,{'PerMillion': '3900'}
168,2020-06-15,"{'PerMillion': '427', 'PerUser': '4.60'}",125,{'PerMillion': '3900'}
169,2020-06-16,"{'PerMillion': '476', 'PerUser': '4.90'}",117,{'PerMillion': '4000'}
170,2020-06-17,"{'PerMillion': '475', 'PerUser': '5.10'}",120,{'PerMillion': '3800'}
171,2020-06-18,"{'PerMillion': '499', 'PerUser': '4.80'}",113,{'PerMillion': '4300'}
172,2020-06-19,"{'PerMillion': '487', 'PerUser': '4.80'}",118,{'PerMillion': '4100'}
173,2020-06-20,"{'PerMillion': '508', 'PerUser': '4.80'}",120,{'PerMillion': '3800'}
174,2020-06-21,"{'PerMillion': '715', 'PerUser': '5.90'}",104,{'PerMillion': '4300'}
