,Date,PageViews,Rank,Reach
63,2020-03-02,"{'PerMillion': '55', 'PerUser': '3.00'}",775,{'PerMillion': '720'}
64,2020-03-03,"{'PerMillion': '74', 'PerUser': '3.60'}",639,{'PerMillion': '800'}
65,2020-03-04,"{'PerMillion': '61', 'PerUser': '2.90'}",660,{'PerMillion': '820'}
66,2020-03-05,"{'PerMillion': '67', 'PerUser': '3.10'}",612,{'PerMillion': '830'}
67,2020-03-06,"{'PerMillion': '52', 'PerUser': '2.50'}",701,{'PerMillion': '810'}
68,2020-03-07,"{'PerMillion': '62', 'PerUser': '2.60'}",696,{'PerMillion': '790'}
69,2020-03-08,"{'PerMillion': '65', 'PerUser': '2.80'}",706,{'PerMillion': '760'}
70,2020-03-09,"{'PerMillion': '55', 'PerUser': '3.00'}",768,{'PerMillion': '730'}
71,2020-03-10,"{'PerMillion': '60', 'PerUser': '3.00'}",733,{'PerMillion': '750'}
72,2020-03-11,"{'PerMillion': '36', 'PerUser': '2.80'}",1207,{'PerMillion': '490'}
73,2020-03-12,"{'PerMillion': '44', 'PerUser': '2.90'}",976,{'PerMillion': '590'}
74,2020-03-13,"{'PerMillion': '44', 'PerUser': '2.80'}",1004,{'PerMillion': '600'}
75,2020-03-14,"{'PerMillion': '49', 'PerUser': '2.80'}",974,{'PerMillion': '600'}
76,2020-03-15,"{'PerMillion': '56', 'PerUser': '2.80'}",873,{'PerMillion': '670'}
77,2020-03-16,"{'PerMillion': '48', 'PerUser': '2.80'}",903,{'PerMillion': '650'}
78,2020-03-17,"{'PerMillion': '46', 'PerUser': '3.10'}",996,{'PerMillion': '580'}
79,2020-03-18,"{'PerMillion': '44', 'PerUser': '2.90'}",1019,{'PerMillion': '580'}
80,2020-03-19,"{'PerMillion': '30', 'PerUser': '3.50'}",1768,{'PerMillion': '330'}
81,2020-03-20,"{'PerMillion': '34', 'PerUser': '3.60'}",1627,{'PerMillion': '360'}
82,2020-03-21,"{'PerMillion': '40', 'PerUser': '2.70'}",1196,{'PerMillion': '520'}
83,2020-03-22,"{'PerMillion': '27', 'PerUser': '1.70'}",1395,{'PerMillion': '540'}
84,2020-03-23,"{'PerMillion': '36', 'PerUser': '3.00'}",1312,{'PerMillion': '470'}
85,2020-03-24,"{'PerMillion': '12', 'PerUser': '2.20'}",3273,{'PerMillion': '220'}
86,2020-03-25,"{'PerMillion': '26', 'PerUser': '2.50'}",1677,{'PerMillion': '400'}
87,2020-03-26,"{'PerMillion': '29', 'PerUser': '3.00'}",1569,{'PerMillion': '390'}
88,2020-03-27,"{'PerMillion': '21', 'PerUser': '2.50'}",2046,{'PerMillion': '330'}
89,2020-03-28,"{'PerMillion': '35', 'PerUser': '3.30'}",1607,{'PerMillion': '380'}
90,2020-03-29,"{'PerMillion': '21', 'PerUser': '2.30'}",2092,{'PerMillion': '330'}
91,2020-03-30,"{'PerMillion': '30', 'PerUser': '3.10'}",1591,{'PerMillion': '390'}
92,2020-03-31,"{'PerMillion': '27', 'PerUser': '3.40'}",1868,{'PerMillion': '330'}
93,2020-04-01,"{'PerMillion': '11', 'PerUser': '2.80'}",4310,{'PerMillion': '160'}
94,2020-04-02,"{'PerMillion': '17', 'PerUser': '2.50'}",2395,{'PerMillion': '280'}
95,2020-04-03,"{'PerMillion': '18', 'PerUser': '2.80'}",2651,{'PerMillion': '240'}
96,2020-04-04,"{'PerMillion': '17', 'PerUser': '2.20'}",2637,{'PerMillion': '260'}
97,2020-04-05,"{'PerMillion': '15', 'PerUser': '1.90'}",2768,{'PerMillion': '270'}
98,2020-04-06,"{'PerMillion': '14', 'PerUser': '2.00'}",2581,{'PerMillion': '280'}
99,2020-04-07,"{'PerMillion': '16', 'PerUser': '2.40'}",2670,{'PerMillion': '260'}
100,2020-04-08,"{'PerMillion': '19', 'PerUser': '2.40'}",2148,{'PerMillion': '310'}
101,2020-04-09,"{'PerMillion': '28', 'PerUser': '3.60'}",2005,{'PerMillion': '290'}
102,2020-04-10,"{'PerMillion': '20', 'PerUser': '2.70'}",2302,{'PerMillion': '280'}
103,2020-04-11,"{'PerMillion': '16', 'PerUser': '1.90'}",2439,{'PerMillion': '290'}
104,2020-04-12,"{'PerMillion': '18', 'PerUser': '2.60'}",2717,{'PerMillion': '240'}
105,2020-04-13,"{'PerMillion': '22', 'PerUser': '2.90'}",2129,{'PerMillion': '300'}
106,2020-04-14,"{'PerMillion': '20', 'PerUser': '2.40'}",2047,{'PerMillion': '320'}
107,2020-04-15,"{'PerMillion': '20', 'PerUser': '2.90'}",2349,{'PerMillion': '270'}
108,2020-04-16,"{'PerMillion': '11', 'PerUser': '3.10'}",4535,{'PerMillion': '140'}
109,2020-04-17,"{'PerMillion': '13', 'PerUser': '2.30'}",2968,{'PerMillion': '230'}
110,2020-04-18,"{'PerMillion': '19', 'PerUser': '3.00'}",2812,{'PerMillion': '220'}
111,2020-04-19,"{'PerMillion': '17', 'PerUser': '3.10'}",3148,{'PerMillion': '190'}
112,2020-04-20,"{'PerMillion': '31', 'PerUser': '4.00'}",1863,{'PerMillion': '310'}
113,2020-04-21,"{'PerMillion': '21', 'PerUser': '4.00'}",2808,{'PerMillion': '210'}
114,2020-04-22,"{'PerMillion': '23', 'PerUser': '3.90'}",2533,{'PerMillion': '230'}
115,2020-04-23,"{'PerMillion': '14', 'PerUser': '2.50'}",3091,{'PerMillion': '210'}
116,2020-04-24,"{'PerMillion': '17', 'PerUser': '2.40'}",2417,{'PerMillion': '270'}
117,2020-04-25,"{'PerMillion': '19', 'PerUser': '2.50'}",2320,{'PerMillion': '280'}
118,2020-04-26,"{'PerMillion': '23', 'PerUser': '3.40'}",2550,{'PerMillion': '230'}
119,2020-04-27,"{'PerMillion': '22', 'PerUser': '2.90'}",2034,{'PerMillion': '310'}
120,2020-04-28,"{'PerMillion': '9.7', 'PerUser': '3.00'}",5001,{'PerMillion': '130'}
121,2020-04-29,"{'PerMillion': '14', 'PerUser': '2.40'}",2949,{'PerMillion': '220'}
122,2020-04-30,"{'PerMillion': '17', 'PerUser': '2.90'}",2832,{'PerMillion': '220'}
123,2020-05-01,"{'PerMillion': '21', 'PerUser': '3.50'}",2506,{'PerMillion': '230'}
124,2020-05-02,"{'PerMillion': '13', 'PerUser': '2.80'}",4008,{'PerMillion': '160'}
125,2020-05-03,"{'PerMillion': '11', 'PerUser': '2.00'}",3528,{'PerMillion': '200'}
126,2020-05-04,"{'PerMillion': '16', 'PerUser': '2.70'}",2636,{'PerMillion': '240'}
127,2020-05-05,"{'PerMillion': '14', 'PerUser': '2.80'}",3230,{'PerMillion': '200'}
128,2020-05-06,"{'PerMillion': '29', 'PerUser': '3.90'}",1875,{'PerMillion': '300'}
129,2020-05-07,"{'PerMillion': '16', 'PerUser': '3.10'}",2892,{'PerMillion': '210'}
130,2020-05-08,"{'PerMillion': '16', 'PerUser': '2.90'}",2923,{'PerMillion': '210'}
