,Date,PageViews,Rank,Reach
62,2020-03-01,"{'PerMillion': '15', 'PerUser': '3.30'}",4196,{'PerMillion': '140'}
63,2020-03-02,"{'PerMillion': '15', 'PerUser': '3.20'}",3415,{'PerMillion': '180'}
64,2020-03-03,"{'PerMillion': '29', 'PerUser': '5.50'}",2516,{'PerMillion': '200'}
65,2020-03-04,"{'PerMillion': '11', 'PerUser': '3.10'}",4623,{'PerMillion': '130'}
66,2020-03-05,"{'PerMillion': '23', 'PerUser': '5.30'}",3166,{'PerMillion': '170'}
67,2020-03-06,"{'PerMillion': '16', 'PerUser': '4.40'}",4019,{'PerMillion': '140'}
68,2020-03-07,"{'PerMillion': '8.9', 'PerUser': '3.00'}",6131,{'PerMillion': '110'}
69,2020-03-08,"{'PerMillion': '7.8', 'PerUser': '2.00'}",6506,{'PerMillion': '100'}
70,2020-03-09,"{'PerMillion': '12', 'PerUser': '3.50'}",4722,{'PerMillion': '130'}
71,2020-03-10,"{'PerMillion': '5.9', 'PerUser': '2.00'}",6683,{'PerMillion': '110'}
72,2020-03-11,"{'PerMillion': '18', 'PerUser': '4.60'}",3802,{'PerMillion': '150'}
73,2020-03-12,"{'PerMillion': '11', 'PerUser': '2.30'}",3867,{'PerMillion': '180'}
74,2020-03-13,"{'PerMillion': '12', 'PerUser': '3.90'}",5193,{'PerMillion': '120'}
75,2020-03-14,"{'PerMillion': '8.5', 'PerUser': '2.90'}",6608,{'PerMillion': '100'}
76,2020-03-15,"{'PerMillion': '6.4', 'PerUser': '2.60'}",8216,{'PerMillion': '84'}
77,2020-03-16,"{'PerMillion': '16', 'PerUser': '3.40'}",3418,{'PerMillion': '180'}
78,2020-03-17,"{'PerMillion': '16', 'PerUser': '6.80'}",5981,{'PerMillion': '89'}
79,2020-03-18,"{'PerMillion': '15', 'PerUser': '3.70'}",3950,{'PerMillion': '160'}
80,2020-03-19,"{'PerMillion': '8.1', 'PerUser': '3.00'}",6513,{'PerMillion': '100'}
81,2020-03-20,"{'PerMillion': '21', 'PerUser': '7.00'}",4604,{'PerMillion': '110'}
82,2020-03-21,"{'PerMillion': '4.6', 'PerUser': '2.90'}",12752,{'PerMillion': '55'}
83,2020-03-22,"{'PerMillion': '6.1', 'PerUser': '3.20'}",10309,{'PerMillion': '66'}
84,2020-03-23,"{'PerMillion': '8.6', 'PerUser': '3.00'}",5965,{'PerMillion': '120'}
85,2020-03-24,"{'PerMillion': '8', 'PerUser': '5.00'}",9658,{'PerMillion': '63'}
86,2020-03-25,"{'PerMillion': '5.4', 'PerUser': '3.00'}",10183,{'PerMillion': '68'}
87,2020-03-26,"{'PerMillion': '16', 'PerUser': '6.00'}",5002,{'PerMillion': '110'}
88,2020-03-27,"{'PerMillion': '7.3', 'PerUser': '4.00'}",8376,{'PerMillion': '80'}
89,2020-03-28,"{'PerMillion': '5.1', 'PerUser': '2.00'}",9564,{'PerMillion': '80'}
90,2020-03-29,"{'PerMillion': '4.4', 'PerUser': '4.00'}",16052,{'PerMillion': '40'}
91,2020-03-30,"{'PerMillion': '8.9', 'PerUser': '5.00'}",8687,{'PerMillion': '70'}
92,2020-03-31,"{'PerMillion': '2.7', 'PerUser': '2.00'}",16442,{'PerMillion': '50'}
93,2020-04-01,"{'PerMillion': '4.3', 'PerUser': '2.00'}",9441,{'PerMillion': '80'}
94,2020-04-02,"{'PerMillion': '3', 'PerUser': '2.00'}",14241,{'PerMillion': '60'}
95,2020-04-03,"{'PerMillion': '3.2', 'PerUser': '3.00'}",15238,{'PerMillion': '50'}
96,2020-04-04,"{'PerMillion': '2.4', 'PerUser': '2.00'}",23349,{'PerMillion': '30'}
97,2020-04-05,"{'PerMillion': '3.6', 'PerUser': '3.00'}",16719,{'PerMillion': '40'}
98,2020-04-06,"{'PerMillion': '13', 'PerUser': '10.00'}",11863,{'PerMillion': '40'}
99,2020-04-07,"{'PerMillion': '7.2', 'PerUser': '4.00'}",8511,{'PerMillion': '80'}
100,2020-04-08,"{'PerMillion': '4.9', 'PerUser': '4.00'}",14001,{'PerMillion': '46'}
101,2020-04-09,"{'PerMillion': '4.7', 'PerUser': '3.00'}",12766,{'PerMillion': '52'}
102,2020-04-10,"{'PerMillion': '2.6', 'PerUser': '3.00'}",19162,{'PerMillion': '40'}
103,2020-04-11,"{'PerMillion': '1.5', 'PerUser': '2.00'}",35683,{'PerMillion': '23'}
104,2020-04-12,"{'PerMillion': '2.6', 'PerUser': '2.00'}",18491,{'PerMillion': '40'}
105,2020-04-13,"{'PerMillion': '6.7', 'PerUser': '4.00'}",10364,{'PerMillion': '60'}
106,2020-04-14,"{'PerMillion': '5.7', 'PerUser': '2.00'}",7084,{'PerMillion': '110'}
107,2020-04-15,"{'PerMillion': '3.4', 'PerUser': '2.50'}",14187,{'PerMillion': '51'}
108,2020-04-16,"{'PerMillion': '2', 'PerUser': '2.10'}",21579,{'PerMillion': '36'}
109,2020-04-17,"{'PerMillion': '2', 'PerUser': '1.00'}",18657,{'PerMillion': '50'}
110,2020-04-18,"{'PerMillion': '1.1', 'PerUser': '1.00'}",34343,{'PerMillion': '28'}
111,2020-04-19,"{'PerMillion': '5', 'PerUser': '3.00'}",10926,{'PerMillion': '60'}
112,2020-04-20,"{'PerMillion': '1.9', 'PerUser': '2.00'}",18135,{'PerMillion': '50'}
113,2020-04-21,"{'PerMillion': '9.8', 'PerUser': '4.00'}",5768,{'PerMillion': '110'}
114,2020-04-22,"{'PerMillion': '4.2', 'PerUser': '3.00'}",11676,{'PerMillion': '60'}
115,2020-04-23,"{'PerMillion': '9.4', 'PerUser': '3.00'}",5040,{'PerMillion': '130'}
116,2020-04-24,"{'PerMillion': '7.8', 'PerUser': '4.00'}",7807,{'PerMillion': '80'}
117,2020-04-25,"{'PerMillion': '1.1', 'PerUser': '2.00'}",35745,{'PerMillion': '30'}
118,2020-04-26,"{'PerMillion': '2', 'PerUser': '3.00'}",22023,{'PerMillion': '30'}
119,2020-04-27,"{'PerMillion': '9.1', 'PerUser': '6.00'}",9333,{'PerMillion': '60'}
120,2020-04-28,"{'PerMillion': '4.6', 'PerUser': '2.00'}",7989,{'PerMillion': '100'}
121,2020-04-29,"{'PerMillion': '3.1', 'PerUser': '3.00'}",17423,{'PerMillion': '39'}
122,2020-04-30,"{'PerMillion': '3.4', 'PerUser': '3.00'}",15571,{'PerMillion': '40'}
123,2020-05-01,"{'PerMillion': '5', 'PerUser': '4.00'}",13285,{'PerMillion': '50'}
124,2020-05-02,"{'PerMillion': '3.1', 'PerUser': '2.00'}",14394,{'PerMillion': '50'}
125,2020-05-03,"{'PerMillion': '3.3', 'PerUser': '4.00'}",23484,{'PerMillion': '30'}
126,2020-05-04,"{'PerMillion': '1.6', 'PerUser': '3.00'}",33720,{'PerMillion': '24'}
127,2020-05-05,"{'PerMillion': '2.6', 'PerUser': '2.00'}",13298,{'PerMillion': '60'}
128,2020-05-06,"{'PerMillion': '6.6', 'PerUser': '5.00'}",10650,{'PerMillion': '50'}
129,2020-05-07,"{'PerMillion': '6.6', 'PerUser': '5.00'}",10967,{'PerMillion': '50'}
130,2020-05-08,"{'PerMillion': '3.1', 'PerUser': '3.00'}",16435,{'PerMillion': '40'}
131,2020-05-09,"{'PerMillion': '3', 'PerUser': '3.00'}",17136,{'PerMillion': '40'}
132,2020-05-10,"{'PerMillion': '2', 'PerUser': '1.00'}",16753,{'PerMillion': '60'}
133,2020-05-11,"{'PerMillion': '2.3', 'PerUser': '2.00'}",19271,{'PerMillion': '40'}
134,2020-05-12,"{'PerMillion': '3.9', 'PerUser': '3.00'}",12009,{'PerMillion': '59'}
