,Date,PageViews,Rank,Reach
62,2020-03-01,"{'PerMillion': '165', 'PerUser': '3.40'}",300,{'PerMillion': '1600'}
63,2020-03-02,"{'PerMillion': '118', 'PerUser': '3.10'}",344,{'PerMillion': '1500'}
64,2020-03-03,"{'PerMillion': '122', 'PerUser': '3.30'}",334,{'PerMillion': '1500'}
65,2020-03-04,"{'PerMillion': '111', 'PerUser': '3.00'}",353,{'PerMillion': '1400'}
66,2020-03-05,"{'PerMillion': '127', 'PerUser': '3.00'}",318,{'PerMillion': '1600'}
67,2020-03-06,"{'PerMillion': '120', 'PerUser': '2.80'}",333,{'PerMillion': '1500'}
68,2020-03-07,"{'PerMillion': '163', 'PerUser': '3.70'}",317,{'PerMillion': '1500'}
69,2020-03-08,"{'PerMillion': '164', 'PerUser': '3.60'}",314,{'PerMillion': '1500'}
70,2020-03-09,"{'PerMillion': '112', 'PerUser': '2.90'}",359,{'PerMillion': '1500'}
71,2020-03-10,"{'PerMillion': '134', 'PerUser': '3.40'}",333,{'PerMillion': '1500'}
72,2020-03-11,"{'PerMillion': '99.1', 'PerUser': '2.70'}",374,{'PerMillion': '1400'}
73,2020-03-12,"{'PerMillion': '138', 'PerUser': '4.00'}",363,{'PerMillion': '1300'}
74,2020-03-13,"{'PerMillion': '91', 'PerUser': '2.50'}",427,{'PerMillion': '1400'}
75,2020-03-14,"{'PerMillion': '87', 'PerUser': '2.50'}",472,{'PerMillion': '1200'}
76,2020-03-15,"{'PerMillion': '120', 'PerUser': '3.60'}",423,{'PerMillion': '1200'}
77,2020-03-16,"{'PerMillion': '67', 'PerUser': '2.60'}",568,{'PerMillion': '970'}
78,2020-03-17,"{'PerMillion': '53', 'PerUser': '2.40'}",681,{'PerMillion': '870'}
79,2020-03-18,"{'PerMillion': '47', 'PerUser': '2.30'}",787,{'PerMillion': '780'}
80,2020-03-19,"{'PerMillion': '44', 'PerUser': '2.20'}",790,{'PerMillion': '790'}
81,2020-03-20,"{'PerMillion': '41', 'PerUser': '2.30'}",948,{'PerMillion': '670'}
82,2020-03-21,"{'PerMillion': '61', 'PerUser': '2.80'}",773,{'PerMillion': '770'}
83,2020-03-22,"{'PerMillion': '44', 'PerUser': '1.90'}",878,{'PerMillion': '800'}
