,Date,PageViews,Rank,Reach
62,2020-03-01,"{'PerMillion': '21', 'PerUser': '4.50'}",3590,{'PerMillion': '160'}
63,2020-03-02,"{'PerMillion': '24', 'PerUser': '5.60'}",3194,{'PerMillion': '170'}
64,2020-03-03,"{'PerMillion': '26', 'PerUser': '5.30'}",2732,{'PerMillion': '190'}
65,2020-03-04,"{'PerMillion': '22', 'PerUser': '4.70'}",2994,{'PerMillion': '180'}
66,2020-03-05,"{'PerMillion': '22', 'PerUser': '5.20'}",3319,{'PerMillion': '160'}
67,2020-03-06,"{'PerMillion': '17', 'PerUser': '3.80'}",3298,{'PerMillion': '170'}
68,2020-03-07,"{'PerMillion': '23', 'PerUser': '5.20'}",3571,{'PerMillion': '150'}
69,2020-03-08,"{'PerMillion': '25', 'PerUser': '4.40'}",3009,{'PerMillion': '180'}
70,2020-03-09,"{'PerMillion': '22', 'PerUser': '4.00'}",2721,{'PerMillion': '210'}
71,2020-03-10,"{'PerMillion': '20', 'PerUser': '3.60'}",2877,{'PerMillion': '210'}
72,2020-03-11,"{'PerMillion': '34', 'PerUser': '6.00'}",2334,{'PerMillion': '220'}
73,2020-03-12,"{'PerMillion': '30', 'PerUser': '4.30'}",2053,{'PerMillion': '270'}
74,2020-03-13,"{'PerMillion': '21', 'PerUser': '4.30'}",3108,{'PerMillion': '190'}
75,2020-03-14,"{'PerMillion': '9.7', 'PerUser': '4.70'}",8265,{'PerMillion': '70'}
76,2020-03-15,"{'PerMillion': '21', 'PerUser': '4.70'}",3736,{'PerMillion': '150'}
77,2020-03-16,"{'PerMillion': '18', 'PerUser': '4.30'}",3674,{'PerMillion': '160'}
78,2020-03-17,"{'PerMillion': '9.5', 'PerUser': '4.60'}",7444,{'PerMillion': '79'}
79,2020-03-18,"{'PerMillion': '14', 'PerUser': '6.10'}",6189,{'PerMillion': '90'}
80,2020-03-19,"{'PerMillion': '11', 'PerUser': '4.70'}",6510,{'PerMillion': '92'}
81,2020-03-20,"{'PerMillion': '15', 'PerUser': '5.20'}",5195,{'PerMillion': '110'}
82,2020-03-21,"{'PerMillion': '12', 'PerUser': '5.20'}",7052,{'PerMillion': '81'}
83,2020-03-22,"{'PerMillion': '11', 'PerUser': '4.20'}",6663,{'PerMillion': '92'}
84,2020-03-23,"{'PerMillion': '6.1', 'PerUser': '3.90'}",10706,{'PerMillion': '61'}
85,2020-03-24,"{'PerMillion': '6', 'PerUser': '4.60'}",12296,{'PerMillion': '51'}
86,2020-03-25,"{'PerMillion': '7.1', 'PerUser': '4.60'}",10376,{'PerMillion': '60'}
87,2020-03-26,"{'PerMillion': '5.2', 'PerUser': '4.10'}",13100,{'PerMillion': '50'}
88,2020-03-27,"{'PerMillion': '5.9', 'PerUser': '4.50'}",12638,{'PerMillion': '51'}
89,2020-03-28,"{'PerMillion': '6', 'PerUser': '3.60'}",10959,{'PerMillion': '59'}
90,2020-03-29,"{'PerMillion': '5.4', 'PerUser': '3.40'}",11912,{'PerMillion': '56'}
91,2020-03-30,"{'PerMillion': '4', 'PerUser': '3.40'}",14995,{'PerMillion': '47'}
92,2020-03-31,"{'PerMillion': '4.4', 'PerUser': '4.50'}",16645,{'PerMillion': '40'}
93,2020-04-01,"{'PerMillion': '2.4', 'PerUser': '3.00'}",23792,{'PerMillion': '31'}
94,2020-04-02,"{'PerMillion': '4.4', 'PerUser': '5.40'}",19347,{'PerMillion': '32'}
95,2020-04-03,"{'PerMillion': '6.8', 'PerUser': '5.00'}",11531,{'PerMillion': '52'}
96,2020-04-04,"{'PerMillion': '1.2', 'PerUser': '2.00'}",33332,{'PerMillion': '30'}
97,2020-04-05,"{'PerMillion': '4.9', 'PerUser': '3.80'}",14299,{'PerMillion': '44'}
98,2020-04-06,"{'PerMillion': '6.3', 'PerUser': '4.00'}",9394,{'PerMillion': '68'}
99,2020-04-07,"{'PerMillion': '4.5', 'PerUser': '5.00'}",17202,{'PerMillion': '36'}
100,2020-04-08,"{'PerMillion': '2.5', 'PerUser': '2.60'}",20243,{'PerMillion': '37'}
101,2020-04-09,"{'PerMillion': '2.6', 'PerUser': '3.60'}",25713,{'PerMillion': '27'}
102,2020-04-10,"{'PerMillion': '2.8', 'PerUser': '3.30'}",21794,{'PerMillion': '32'}
103,2020-04-11,"{'PerMillion': '7.9', 'PerUser': '5.00'}",10599,{'PerMillion': '50'}
104,2020-04-12,"{'PerMillion': '4.8', 'PerUser': '4.00'}",14056,{'PerMillion': '50'}
105,2020-04-13,"{'PerMillion': '2.9', 'PerUser': '2.70'}",18140,{'PerMillion': '41'}
106,2020-04-14,"{'PerMillion': '1.3', 'PerUser': '2.00'}",31667,{'PerMillion': '29'}
107,2020-04-15,"{'PerMillion': '3.4', 'PerUser': '3.40'}",17478,{'PerMillion': '38'}
108,2020-04-16,"{'PerMillion': '2.5', 'PerUser': '3.60'}",25667,{'PerMillion': '27'}
109,2020-04-17,"{'PerMillion': '3.3', 'PerUser': '3.60'}",18237,{'PerMillion': '36'}
110,2020-04-18,"{'PerMillion': '2.5', 'PerUser': '2.00'}",19089,{'PerMillion': '39'}
111,2020-04-19,"{'PerMillion': '4', 'PerUser': '3.90'}",17367,{'PerMillion': '36'}
112,2020-04-20,"{'PerMillion': '5.1', 'PerUser': '3.80'}",12029,{'PerMillion': '54'}
113,2020-04-21,"{'PerMillion': '6.7', 'PerUser': '4.30'}",9963,{'PerMillion': '61'}
114,2020-04-22,"{'PerMillion': '6.1', 'PerUser': '5.40'}",13342,{'PerMillion': '44'}
115,2020-04-23,"{'PerMillion': '1.3', 'PerUser': '3.00'}",40764,{'PerMillion': '20'}
116,2020-04-24,"{'PerMillion': '1.8', 'PerUser': '4.00'}",37528,{'PerMillion': '20'}
117,2020-04-25,"{'PerMillion': '2', 'PerUser': '3.00'}",32699,{'PerMillion': '20'}
118,2020-04-26,"{'PerMillion': '3.6', 'PerUser': '2.00'}",13050,{'PerMillion': '60'}
119,2020-04-27,"{'PerMillion': '2.2', 'PerUser': '3.00'}",25168,{'PerMillion': '28'}
120,2020-04-28,"{'PerMillion': '2.4', 'PerUser': '2.80'}",20973,{'PerMillion': '34'}
121,2020-04-29,"{'PerMillion': '4.8', 'PerUser': '4.10'}",13613,{'PerMillion': '46'}
122,2020-04-30,"{'PerMillion': '3.4', 'PerUser': '2.00'}",13560,{'PerMillion': '50'}
123,2020-05-01,"{'PerMillion': '2.1', 'PerUser': '3.00'}",29530,{'PerMillion': '25'}
124,2020-05-02,"{'PerMillion': '4.1', 'PerUser': '3.40'}",15188,{'PerMillion': '43'}
125,2020-05-03,"{'PerMillion': '6', 'PerUser': '4.60'}",12730,{'PerMillion': '47'}
126,2020-05-04,"{'PerMillion': '6.4', 'PerUser': '4.00'}",9905,{'PerMillion': '60'}
127,2020-05-05,"{'PerMillion': '5', 'PerUser': '5.00'}",15319,{'PerMillion': '39'}
128,2020-05-06,"{'PerMillion': '4.1', 'PerUser': '3.30'}",13365,{'PerMillion': '49'}
129,2020-05-07,"{'PerMillion': '3.4', 'PerUser': '3.20'}",15830,{'PerMillion': '43'}
130,2020-05-08,"{'PerMillion': '7.9', 'PerUser': '4.00'}",7185,{'PerMillion': '80'}
131,2020-05-09,"{'PerMillion': '2', 'PerUser': '2.00'}",20675,{'PerMillion': '40'}
132,2020-05-10,"{'PerMillion': '12', 'PerUser': '8.40'}",10181,{'PerMillion': '49'}
133,2020-05-11,"{'PerMillion': '4.9', 'PerUser': '5.00'}",15693,{'PerMillion': '39'}
134,2020-05-12,"{'PerMillion': '4.1', 'PerUser': '3.40'}",13842,{'PerMillion': '48'}
135,2020-05-13,"{'PerMillion': '7.3', 'PerUser': '6.00'}",11722,{'PerMillion': '48'}
136,2020-05-14,"{'PerMillion': '3.7', 'PerUser': '3.00'}",13853,{'PerMillion': '49'}
137,2020-05-15,"{'PerMillion': '2.7', 'PerUser': '5.00'}",33007,{'PerMillion': '20'}
138,2020-05-16,"{'PerMillion': '4.1', 'PerUser': '3.00'}",13351,{'PerMillion': '50'}
139,2020-05-17,"{'PerMillion': '4.7', 'PerUser': '3.30'}",12847,{'PerMillion': '50'}
140,2020-05-18,"{'PerMillion': '5.6', 'PerUser': '3.90'}",10870,{'PerMillion': '58'}
141,2020-05-19,"{'PerMillion': '6.8', 'PerUser': '4.30'}",9450,{'PerMillion': '64'}
142,2020-05-20,"{'PerMillion': '7.7', 'PerUser': '4.20'}",8246,{'PerMillion': '73'}
143,2020-05-21,"{'PerMillion': '11', 'PerUser': '5.80'}",7264,{'PerMillion': '75'}
144,2020-05-22,"{'PerMillion': '7.5', 'PerUser': '6.40'}",11581,{'PerMillion': '48'}
145,2020-05-23,"{'PerMillion': '5.3', 'PerUser': '6.00'}",18004,{'PerMillion': '30'}
146,2020-05-24,"{'PerMillion': '11', 'PerUser': '5.00'}",8762,{'PerMillion': '59'}
