,Date,PageViews,Rank,Reach
63,2020-03-02,"{'PerMillion': '71', 'PerUser': '3.90'}",710,{'PerMillion': '710'}
64,2020-03-03,"{'PerMillion': '59', 'PerUser': '3.00'}",724,{'PerMillion': '750'}
65,2020-03-04,"{'PerMillion': '50', 'PerUser': '3.40'}",966,{'PerMillion': '580'}
66,2020-03-05,"{'PerMillion': '60', 'PerUser': '3.30'}",735,{'PerMillion': '700'}
67,2020-03-06,"{'PerMillion': '65', 'PerUser': '3.70'}",767,{'PerMillion': '670'}
68,2020-03-07,"{'PerMillion': '54', 'PerUser': '3.50'}",1011,{'PerMillion': '520'}
69,2020-03-08,"{'PerMillion': '52', 'PerUser': '3.00'}",968,{'PerMillion': '560'}
70,2020-03-09,"{'PerMillion': '54', 'PerUser': '3.40'}",851,{'PerMillion': '640'}
71,2020-03-10,"{'PerMillion': '68', 'PerUser': '3.50'}",703,{'PerMillion': '740'}
72,2020-03-11,"{'PerMillion': '64', 'PerUser': '3.40'}",723,{'PerMillion': '730'}
73,2020-03-12,"{'PerMillion': '56', 'PerUser': '3.40'}",867,{'PerMillion': '620'}
74,2020-03-13,"{'PerMillion': '47', 'PerUser': '3.00'}",978,{'PerMillion': '600'}
75,2020-03-14,"{'PerMillion': '61', 'PerUser': '3.90'}",1026,{'PerMillion': '520'}
76,2020-03-15,"{'PerMillion': '48', 'PerUser': '2.80'}",1037,{'PerMillion': '580'}
77,2020-03-16,"{'PerMillion': '34', 'PerUser': '3.10'}",1395,{'PerMillion': '430'}
78,2020-03-17,"{'PerMillion': '32', 'PerUser': '3.00'}",1494,{'PerMillion': '410'}
79,2020-03-18,"{'PerMillion': '27', 'PerUser': '2.90'}",1714,{'PerMillion': '360'}
80,2020-03-19,"{'PerMillion': '20', 'PerUser': '2.60'}",2131,{'PerMillion': '310'}
81,2020-03-20,"{'PerMillion': '30', 'PerUser': '2.90'}",1586,{'PerMillion': '390'}
82,2020-03-21,"{'PerMillion': '24', 'PerUser': '2.30'}",1809,{'PerMillion': '370'}
83,2020-03-22,"{'PerMillion': '18', 'PerUser': '2.50'}",2882,{'PerMillion': '240'}
84,2020-03-23,"{'PerMillion': '19', 'PerUser': '2.60'}",2328,{'PerMillion': '290'}
85,2020-03-24,"{'PerMillion': '17', 'PerUser': '2.50'}",2519,{'PerMillion': '270'}
